country,total_cases,total_deaths,total_recovered,total_tests,cases/1m,deaths/1m,tests/1m,press_freedom_index_2020,region,continent,pfi_category
Jordan,471,9.0,375.0,91666.0,46.0,0.9,8984.0,42.08,Western Asia,Asia,lower_average
Taiwan,439,6.0,339.0,65589.0,18.0,0.3,2754.0,23.76,Eastern Asia,Asia,upper_average
Paraguay,431,10.0,135.0,11913.0,60.0,1.0,1670.0,32.97,South America,South America,average
Gabon,397,6.0,93.0,724.0,178.0,3.0,325.0,37.2,Middle Africa,Africa,lower_average
Palestine,371,2.0,127.0,32200.0,73.0,0.4,6312.0,44.09,Western Asia,Asia,lower_average
Venezuela,367,10.0,164.0,490851.0,13.0,0.4,17262.0,45.66,South America,South America,lower_average
Mauritius,332,10.0,319.0,18959.0,261.0,8.0,14908.0,28.0,Eastern Africa,Africa,average
Montenegro,324,8.0,261.0,7816.0,516.0,13.0,12445.0,33.83,Southern Europe,Europe,average
Equatorial Guinea,315,3.0,13.0,854.0,225.0,2.0,609.0,56.38,Middle Africa,Africa,not_free
Tajikistan,293,5.0,,,31.0,0.5,,55.34,Central Asia,Asia,not_free
Vietnam,271,0.0,232.0,261004.0,3.0,,2681.0,74.71,South-Eastern Asia,Asia,not_free
Rwanda,261,0.0,129.0,35992.0,20.0,,2779.0,50.34,Eastern Africa,Africa,lower_average
Congo,236,10.0,26.0,,43.0,2.0,,36.56,Middle Africa,Africa,lower_average
Sierra Leone,199,11.0,43.0,,25.0,1.0,,30.28,Western Africa,Africa,average
Liberia,170,20.0,58.0,,34.0,4.0,,32.25,Western Africa,Africa,average
Chad,170,17.0,43.0,,10.0,1.0,,39.7,Middle Africa,Africa,lower_average
Ethiopia,162,4.0,93.0,26517.0,1.0,0.03,231.0,32.82,Eastern Africa,Africa,average
Myanmar,161,6.0,49.0,9037.0,3.0,0.1,166.0,44.77,South-Eastern Asia,Asia,lower_average
Madagascar,151,0.0,101.0,3861.0,5.0,,139.0,27.68,Eastern Africa,Africa,average
Zambia,139,4.0,92.0,7277.0,8.0,0.2,396.0,37.0,Eastern Africa,Africa,lower_average
Brunei,139,1.0,131.0,14754.0,318.0,2.0,33725.0,49.65,South-Eastern Asia,Asia,lower_average
Togo,128,9.0,74.0,7896.0,15.0,1.0,954.0,29.33,Western Africa,Africa,average
Cambodia,122,0.0,120.0,12611.0,7.0,,754.0,45.46,South-Eastern Asia,Asia,lower_average
Trinidad and Tobago,116,8.0,103.0,2080.0,83.0,6.0,1486.0,23.22,Caribbean,North America,upper_average
Haiti,101,12.0,10.0,1037.0,9.0,1.0,91.0,30.2,Caribbean,North America,average
Nepal,99,0.0,22.0,64492.0,3.0,,2213.0,35.1,Southern Asia,Asia,lower_average
Uganda,98,0.0,55.0,44110.0,2.0,,964.0,40.95,Eastern Africa,Africa,lower_average
Benin,96,2.0,50.0,,8.0,0.2,,35.11,Western Africa,Africa,lower_average
Guyana,93,10.0,27.0,680.0,118.0,13.0,865.0,26.63,South America,South America,average
CAR,85,0.0,10.0,3498.0,18.0,,724.0,42.87,Middle Africa,Africa,lower_average
Liechtenstein,82,1.0,55.0,900.0,2151.0,26.0,23605.0,19.52,Western Europe,Europe,upper_average
Mozambique,81,0.0,19.0,2867.0,3.0,,92.0,33.79,Eastern Africa,Africa,average
Libya,63,3.0,24.0,2338.0,9.0,0.4,340.0,55.77,Northern Africa,Africa,not_free
South Sudan,52,0.0,,1247.0,5.0,,111.0,44.49,Eastern Africa,Africa,lower_average
Syria,44,3.0,27.0,,3.0,0.2,,72.57,Western Asia,Asia,not_free
Malawi,41,3.0,9.0,907.0,2.0,0.2,47.0,29.32,Eastern Africa,Africa,average
Mongolia,41,0.0,13.0,8946.0,13.0,,2729.0,29.61,Eastern Asia,Asia,average
Eritrea,39,0.0,30.0,,11.0,,,83.5,Eastern Africa,Africa,not_free
Angola,36,2.0,11.0,3000.0,1.0,0.06,91.0,33.92,Middle Africa,Africa,average
Zimbabwe,34,4.0,5.0,7642.0,2.0,0.3,514.0,40.95,Eastern Africa,Africa,lower_average
Timor-Leste,24,0.0,20.0,664.0,18.0,,504.0,29.9,South-Eastern Asia,Asia,average
Botswana,23,1.0,8.0,8636.0,10.0,0.4,3672.0,23.56,Southern Africa,Africa,upper_average
Yemen,22,4.0,1.0,120.0,0.7,0.1,4.0,58.25,Western Asia,Asia,not_free
Laos,19,0.0,9.0,2505.0,3.0,,344.0,64.28,South-Eastern Asia,Asia,not_free
Belize,18,2.0,16.0,1043.0,45.0,5.0,2623.0,27.5,Central America,North America,average
Fiji,18,0.0,14.0,1300.0,20.0,,1450.0,27.41,Melanesia,Oceania,average
Gambia,17,1.0,9.0,562.0,7.0,0.4,233.0,30.62,Western Africa,Africa,average
Nicaragua,16,5.0,7.0,,2.0,0.8,,35.81,Central America,North America,lower_average
Namibia,16,0.0,8.0,1122.0,6.0,,442.0,19.25,Southern Africa,Africa,upper_average
Burundi,15,1.0,7.0,284.0,1.0,0.08,24.0,55.33,Eastern Africa,Africa,not_free
Seychelles,11,0.0,8.0,,112.0,,,28.66,Eastern Africa,Africa,average
Suriname,10,1.0,9.0,404.0,17.0,2.0,689.0,17.5,South America,South America,upper_average
Mauritania,8,1.0,6.0,1032.0,2.0,0.2,222.0,32.54,Western Africa,Africa,average
Papua New Guinea,8,0.0,8.0,2402.0,0.9,,268.0,23.93,Melanesia,Oceania,upper_average
Bhutan,7,0.0,5.0,11373.0,9.0,,14739.0,28.9,Southern Asia,Asia,average
Comoros,3,0.0,,,3.0,,,29.77,Eastern Africa,Africa,average
