country,total_cases,total_deaths,total_recovered,bri_country,region,continent,press_freedom_index_2020
Rwanda,261,0,129,bri_member,Eastern Africa,Afica,50.34
Congo,236,10,26,bri_member,Middle Africa,Afica,36.56
Sierra Leone,199,11,43,bri_member,Western Africa,Afica,30.28
Faeroe Islands,187,0,185,non_member,Northern Europe,Europe,
Cabo Verde,186,2,37,bri_member,Western Africa,Afica,
Martinique,182,14,83,non_member,Caribbean,North America,
Sao Tome and Principe,174,3,4,non_member,Middle Africa,Afica,
Liberia,170,20,58,bri_member,Western Africa,Afica,32.25
Chad,170,17,43,bri_member,Middle Africa,Afica,3.97
Ethiopia,162,4,93,bri_member,Eastern Africa,Afica,32.82
Myanmar,161,6,49,bri_member,South-Eastern Asia,Asian,44.77
Guadeloupe,152,13,104,non_member,Caribbean,North America,
Madagascar,151,0,101,bri_member,Eastern Africa,Afica,27.68
Gibraltar,144,0,133,non_member,Southern Europe,Europe,
Zambia,139,4,92,bri_member,Eastern Africa,Afica,0.37
Brunei,139,1,131,bri_member,South-Eastern Asia,Asian,49.65
French Guiana,138,1,111,non_member,South America,South America,
Togo,128,9,74,bri_member,Western Africa,Afica,29.33
Cambodia,122,0,120,bri_member,South-Eastern Asia,Asian,45.46
Eswatini,119,1,12,non_member,,Afica,
Trinidad and Tobago,116,8,103,bri_member,Caribbean,North America,23.22
Bermuda,115,7,54,non_member,Northern America,North America,
Haiti,101,12,10,non_member,Caribbean,North America,3.02
Aruba,101,2,82,non_member,Caribbean,North America,
Nepal,99,0,22,bri_member,Southern Asia,Asian,3.51
Uganda,98,0,55,bri_member,Eastern Africa,Afica,40.95
Benin,96,2,50,bri_member,Western Africa,Afica,35.11
Monaco,95,4,81,non_member,Western Europe,Europe,
Guyana,93,10,27,bri_member,South America,South America,26.63
Bahamas,89,11,26,non_member,Caribbean,North America,
CAR,85,0,10,non_member,Middle Africa,Afica,42.87
Barbados,82,7,47,bri_member,Caribbean,North America,
Liechtenstein,82,1,55,non_member,Western Europe,Europe,19.52
Mozambique,81,0,19,bri_member,Eastern Africa,Afica,33.79
Cayman Islands,78,1,30,non_member,Caribbean,North America,
Sint Maarten,76,14,44,non_member,Caribbean,North America,
Libya,63,3,24,bri_member,Northern Africa,Afica,55.77
French Polynesia,60,0,54,non_member,Polynesia,Oceania,
South Sudan,52,0,0,bri_member,Eastern Africa,Afica,44.49
Macao,45,0,39,non_member,Eastern Asia,Asian,
Syria,44,3,27,non_member,Western Asian,Asian,72.57
Malawi,41,3,9,non_member,Eastern Africa,Afica,29.32
Mongolia,41,0,13,bri_member,Eastern Asia,Asian,29.61
Eritrea,39,0,30,non_member,Eastern Africa,Afica,8.35
Saint Martin,38,3,29,non_member,Caribbean,North America,
