country,total_cases,total_deaths,total_recovered,total_tests,cases/1m,deaths/1m,tests/1m,press_freedom_index_2020,region,continent
Palestine,371,2,127,32200,73,0.4,6312,44.09,Western Asian,Asian
Venezuela,367,10,164,490851,13,0.4,17262,45.66,South America,South America
Mauritius,332,10,319,18959,261,8,14908,28,Eastern Africa,Africa
Montenegro,324,8,261,7816,516,13,12445,33.83,Southern Europe,Europe
Equatorial Guinea,315,3,13,854,225,2,609,56.38,Middle Africa,Africa
Tajikistan,293,5,,,31,0.5,,55.34,Central Asia,Asian
Vietnam,271,,232,261004,3,,2681,74.71,South-Eastern Asia,Asian
Rwanda,261,,129,35992,20,,2779,50.34,Eastern Africa,Africa
Congo,236,10,26,,43,2,,36.56,Middle Africa,Africa
Sierra Leone,199,11,43,,25,1,,30.28,Western Africa,Africa
Liberia,170,20,58,,34,4,,32.25,Western Africa,Africa
Chad,170,17,43,,10,1,,39.7,Middle Africa,Africa
Ethiopia,162,4,93,26517,1,0.03,231,32.82,Eastern Africa,Africa
Myanmar,161,6,49,9037,3,0.1,166,44.77,South-Eastern Asia,Asian
Madagascar,151,,101,3861,5,,139,27.68,Eastern Africa,Africa
Zambia,139,4,92,7277,8,0.2,396,37,Eastern Africa,Africa
Brunei,139,1,131,14754,318,2,33725,49.65,South-Eastern Asia,Asian
Togo,128,9,74,7896,15,1,954,29.33,Western Africa,Africa
Cambodia,122,,120,12611,7,,754,45.46,South-Eastern Asia,Asian
Trinidad and Tobago,116,8,103,2080,83,6,1486,23.22,Caribbean,North America
Haiti,101,12,10,1037,9,1,91,30.2,Caribbean,North America
Nepal,99,,22,64492,3,,2213,35.1,Southern Asia,Asian
Uganda,98,,55,44110,2,,964,40.95,Eastern Africa,Africa
Benin,96,2,50,,8,0.2,,35.11,Western Africa,Africa
Guyana,93,10,27,680,118,13,865,26.63,South America,South America
CAR,85,,10,3498,18,,724,42.87,Middle Africa,Africa
Liechtenstein,82,1,55,900,2151,26,23605,19.52,Western Europe,Europe
Mozambique,81,,19,2867,3,,92,33.79,Eastern Africa,Africa
Libya,63,3,24,2338,9,0.4,340,55.77,Northern Africa,Africa
South Sudan,52,,,1247,5,,111,44.49,Eastern Africa,Africa
Syria,44,3,27,,3,0.2,,72.57,Western Asian,Asian
Malawi,41,3,9,907,2,0.2,47,29.32,Eastern Africa,Africa
Mongolia,41,,13,8946,13,,2729,29.61,Eastern Asia,Asian
Eritrea,39,,30,,11,,,83.5,Eastern Africa,Africa
Angola,36,2,11,3000,1,0.06,91,33.92,Middle Africa,Africa
Zimbabwe,34,4,5,7642,2,0.3,514,40.95,Eastern Africa,Africa
Timor-Leste,24,,20,664,18,,504,29.9,South-Eastern Asia,Asian
Botswana,23,1,8,8636,10,0.4,3672,23.56,Southern Africa,Africa
Yemen,22,4,1,120,0.7,0.1,4,58.25,Western Asian,Asian
Laos,19,,9,2505,3,,344,64.28,South-Eastern Asia,Asian
Belize,18,2,16,1043,45,5,2623,27.5,Central America,North America
Fiji,18,,14,1300,20,,1450,27.41,Melanesia,Oceania
Gambia,17,1,9,562,7,0.4,233,30.62,Western Africa,Africa
Nicaragua,16,5,7,,2,0.8,,35.81,Central America,North America
Namibia,16,,8,1122,6,,442,19.25,Southern Africa,Africa
Burundi,15,1,7,284,1,0.08,24,55.33,Eastern Africa,Africa
Seychelles,11,,8,,112,,,28.66,Eastern Africa,Africa
Suriname,10,1,9,404,17,2,689,17.5,South America,South America
Mauritania,8,1,6,1032,2,0.2,222,32.54,Western Africa,Africa
Papua New Guinea,8,,8,2402,0.9,,268,23.93,Melanesia,Oceania
Bhutan,7,,5,11373,9,,14739,28.9,Southern Asia,Asian
Comoros,3,,,,3,,,29.77,Eastern Africa,Africa
